Resumen generado por la IA,País,Entidad,Og_Resumida,Base URL,Categoría,Disciplina,Disciplina Limpia,Inscripcion,Monto,Moneda,Monto_USD,Inscripcion_USD_web
Premio | V Certamen Literario Internacional de la Casa de La Rioja en Gipuzkoa,España,Casa de la Rioja en Gipuzkoa,"Dirigido a personas mayores de 18 años de cualquier nacionalidad, sin restricciones geográficas; no requiere pago para participar. Disciplina: relato en castellano. Premios: 400 €, 300 € y 200 €. Abierto a artistas de Latinoamérica.",https://www.casadelarioja.com/noticias/viaja-con-tus-palabras-v-certamen-literario-internacional-en-casa-de-la-rioja/,Premio,Literatura,Literatura,Sin cargo,400.0,EUR,432.0,
Convocatoria | XXVII Certamen de Teatro Mínimo Rafael Guerrero,España,asociación cultural Taetro,"Dirigido a cualquier autor/a sin restricciones de nacionalidad, sin requerir pago para participar. Disciplina: teatro (teatro mínimo en español). El premio consiste en la publicación y posible representación de las obras ganadoras; la convocatoria está abierta a artistas de Latinoamérica.",http://taetro-teatrominimo.blogspot.com,Convocatoria,"Literatura, Escénicas, Dramaturgia",Escénicas,Sin cargo,,EUR,,
Premio | XIV Certamen Internacional de Microrrelatos “Cardenal Mendoza”,España,Bodegas Sánchez Romate Hnos.,"Abierto a cualquier persona física mayor de edad y de cualquier nacionalidad, para presentar microrrelatos originales e inéditas, escritas en español y con una extensión máxima de 150 palabras (título incluido). El tema es libre, pero es indispensable que el microrrelato haga referencia al brandy de Jerez. El concurso de  ofrece un primer premio de 2000 euros, un segundo de 700 euros y un tercero de 600 euros, acompañados en cada caso por brandy y vinos de Jerez.",https://www.cardenalmendoza.com/es/el-legado-romate/certamen-internacional-de-microrrelatos,Premio,Literatura,Literatura,Sin cargo,0.0,EUR,0.0,
Premio | 6º Premio de Poesía Lorenzo Gomis,España,Revista El Ciervo,"Dirigido a cualquier persona sin restricciones, no requiere pago, disciplina: poesía, premio de 1.000 euros y publicación; está abierto a participantes de Latinoamérica.",https://elciervo.es/concursos/,Premio,"Literatura, Poesía",Literatura,Sin cargo,1000.0,EUR,1080.0,
Premio | Primer Certamen de Relatos “Saber Mirar”,España,Fundación Carmen Santisteban,"Dirigido a personas de cualquier nacionalidad a partir de 14 años (sin límite superior), sin requerir pago. Disciplina: relato literario en español. El premio es de 700 euros y diploma, y está abierto a participantes de Latinoamérica.",https://fundacioncarmensantisteban.es/primer-certamen-de-relatos-saber-mirar/,Premio,Literatura,Literatura,Sin cargo,700.0,EUR,756.0,
Premio | XLV Premio Mundial Fernando Rielo de Poesía Mística,España,Fundación Fernando Rielo,"Abierto a poemarios inéditos de cualquier autor, escritos en español o inglés (o traducidos a estos idiomas). Las obras deben tener entre 600 y 1.300 versos, abordar la poesía mística que expresa valores espirituales y religiosos, y no haber sido difundidas previamente en redes, blogs u otros medios, ni estar pendientes de fallo en otros concursos. El premio es de 7.000 euros y la publicación de la obra ganadora.",https://rielo.org/premios/,Premio,"Literatura, Poesía",Literatura,Sin cargo,7000.0,EUR,7560.00,
Premio | 10.ª Edición del Premio de Cuento Santiago Anzola Omaña 2025,Venezuela,Premio Santiago Anzola Omaña,Abierto a estudiantes de pregrado y postgrado inscritos en universidades venezolanas (Los participantes deben ser venezolanos o extranjeros residenciados en el país). El tema será libre y los cuentos deberán estar escritos en español. Los mismos tendrán una extensión mínima de 2 cuartillas y máxima de 20. Se podrá presentar 1 texto por autor. El premio es único e indivisible y consiste en el monto de USD 1000.,https://premiosantiagoanzola.com/bases/,Premio,"Literatura, Cuento",Literatura,Sin cargo,,,,
Premio | Premio Internacional de Poesía 'Miguel Hernández-Comunidad Valenciana 2026’,España,Fundación Cultural Miguel Hernández,"Dirigido a escritores de cualquier nacionalidad con obras inéditas en castellano; no requiere pago para participar. Disciplina: poesía. Las obras, de tema libre, deberán contar con un mínimo de 500 y un máximo de
1.000 versos. El premio es de 8.000 euros, publicación y 50 ejemplares, y está abierto a autores de Latinoamérica. ",http://www.miguelhernandezvirtual.es/new/index.php?option=com_content&view=article&id=2552,Premio,"Literatura, Poesía",Literatura,Sin cargo,8000.0,EUR,8640.0,
"Premio |  XXV Premio Internacional de Relato Corto ""Encarna León”",España,Ciudad Autónoma de Melilla,"Dirigido a cualquier persona, sin importar nacionalidad, que presente un relato corto inédito en español; no requiere pago para participar. Disciplina: narrativa (cuento/relato corto) sobre igualdad de género. Premio de 6.000 euros; está abierto a participantes de Latinoamérica.",https://www.melilla.es/melillaPortal/contenedor.jsp?seccion=s_fdoc_d4_v1.jsp&contenido=32857&tipo=5&nivel=1400,Premio,"Literatura, Relato Corto",Literatura,Sin cargo,6000.0,EUR,6480.0,
Fondos | Ayuda a la circulación de profesionales de la música 2025,Múltiples Países,Ibermúsicas,"Dirigida a músicos, agrupaciones y otros agentes del sector musical iberoamericano de 15 países (Argentina, Brasil, Chile, Colombia, Costa Rica, Cuba, Ecuador, El Salvador, España, México, Panamá, Paraguay, Perú, Portugal y Uruguay) que estén registrados en el Catálogo de Ibermúsicas y cuenten con invitaciones formales de instituciones en el exterior. Su objetivo es apoyar la internacionalización de espectáculos, intercambios y saberes musicales, cubriendo exclusivamente los gastos de traslado entre países y ciudades de destino, con un monto máximo de ayuda de USD 8.000 (ocho mil dólares estadounidenses) o € 8.000 (ocho mil euros) para proyectos de España y Portugal.",https://www.ibermusicas.org/index.php/convocatorias/,Fondos,Música,Música,Sin cargo,8000.0,EUR,8640.0,
Fondos | Ayuda a artistas e investigadores para residencias 2025,Múltiples Países,Ibermúsicas,"Dirigida a compositoras, compositores, agrupaciones musicales, investigadoras e investigadores iberoamericanos que estén registrados en el Catálogo de Ibermúsicas y cuenten con una carta oficial de invitación de una institución anfitriona. El objetivo es incentivar residencias de creación o investigación musical en el exterior, con una duración mínima de tres semanas. El monto máximo de ayuda por proyecto es de USD 5.000 o € 5.000 para proyectos de España y Portugal. La ayuda está destinada a cubrir gastos operacionales como pasajes aéreos, manutención (hospedaje, alimentación), adquisición de material y honorarios a la institución receptora. Se priorizan proyectos de obras originales vinculadas a una organización o conjunto artístico, y los postulantes deben residir en el lugar de destino durante la residencia.",https://www.ibermusicas.org/index.php/convocatorias/,Fondos,"Música, Composición, Investigación",Música,Sin cargo,5000.0,EUR,5400.0,
Fondos | Ayuda a instituciones para residencias 2025,Múltiples Países,Ibermúsicas,"Dirigida a instituciones -públicas o privadas-, organismos  o agrupaciones de Brasil, Chile, Colombia, Costa Rica, Cuba, España, México, Panamá, Paraguay, Perú, Portugal y Uruguay, cuenten con la posibilidad de invitar a compositoras, compositores, directoras y directores o investigadoras e investigadores de todo el mundo a realizar trabajos de creación o de investigación en residencia durante un plazo mínimo de tres semanas. Las actividades deben realizarse entre el 1 de enero y el 31 de diciembre de 2026. La ayuda financiera, con un monto máximo de USD 5.000 o € 5.000 para proyectos de España y Portugal, se destina a cubrir gastos operacionales como pasajes aéreos, manutención (hospedaje, alimentación), adquisición de material y honorarios de los invitados.",https://www.ibermusicas.org/index.php/convocatorias/,Fondos,"Música, Otras, Residencias",Música,Sin cargo,5000.0,EUR,5400.0,
Convocatoria | Programa ARTBO Tutor 2025,Colombia,Cámara de Comercio de Bogotá,"Dirigida a artistas plásticos y visuales (estudiantes, profesionales o empíricos), mayores de edad y residentes en Bogotá o Cundinamarca. El programa busca fortalecer a los agentes del campo artístico a través de 90 horas de formación en módulos y talleres sobre producción y materialización de procesos creativos, seguido de una fase de circulación que ofrece la oportunidad de participar en exposiciones curadas. ",https://docs.google.com/forms/d/e/1FAIpQLSeZF0JWw-bl13JO9p3iGw0_D4qn8cPIir2I8IE7Y60iKt8Uxw/viewform,Convocatoria,Visuales,Visuales,Sin cargo,,COP,,
Residencia | Residencias Creativas Las Cigarreras 2025,España,Ayuntamiento de Alicante,"Dirigido a artistas, autores o colectivos artísticos mayores de edad (locales y nacionales, incluyendo dos plazas para residentes en Alicante) que trabajen en el arte contemporáneo. El objeto de la convocatoria es fomentar la investigación y creación transdisciplinar, tejiendo redes entre los agentes culturales en el Centro Cultural Las Cigarreras, Alicante, de octubre a noviembre de 2025 (4 semanas por residencia). La oportunidad ofrece seis residencias con una dotación de 2.900€ (honorarios, producción, dietas y desplazamientos), un presupuesto añadido de hasta 1.000€ para producción, alojamiento, espacios de trabajo, recursos técnicos y un programa de acompañamiento y encuentros con profesionales del sector.  Oportunidad exclusiva para residentes en España, particularmente en Alicante.",https://www.concual.es/convocatorias/convocatoria/residencias-creativas-las-cigarreras-2025-ES/,Residencia,"Visuales, Otras, Arte Contemporáneo",Visuales,Sin cargo,2900.0,EUR,3132.0,
Convocatoria | BADA México 2026 - Feria de Arte,México,BADA México,"Abierta a artistas visuales mayores de 18 años, consagrados o emergentes, de cualquier nacionalidad o lugar de residencia. Es requisito estar presente en el stand durante los 4 días de la feria. Los artistas seleccionados serán convocados a una reunión informativa en la cual se les proporcionará toda la información general como: costos de los stands, espacios disponibles, comunicación y difusión del evento, acciones previstas, formas de pagos, fechas, horarios, montaje y desmontaje etc.. La 6° edición se realizará del 5 al 8 de febrero 2026 en el Ciudad de México.",https://bada.com.mx/convocatoria-2026/,Convocatoria,Visuales,Visuales,Sin cargo,,MXN,,
Premio | IV edición del Premio Europeo Carmen Mateu para Jóvenes Artistas de Ópera y Danza,España,Fundación Privada Castell de Peralada,Dirigido a artistas o colectivos de hasta 35 años con nacionalidad europea o carrera desarrollada en países miembros del Consejo de Europa. Disciplina: proyectos artísticos-educativos de ópera; premio de 40.000 €. No está abierto a artistas de Latinoamérica salvo que cumplan con los criterios de nacionalidad europea o desarrollo profesional en Europa.,https://carmenmateuaward.com/es,Premio,"Escénicas, Opera, Educación",Escénicas,Sin cargo,40000.0,EUR,43200.0,
Residencia | X-Reality-Lab Artist-in-Residence Programme,Austria,Universidad Mozarteum de Salzburgo,"Dirigido a artistas y colectivos para crear una performance XR interactiva y multiusuario en el recién construido X-Reality-Lab. Disciplina: Interdisciplinario, Digital / Nuevos medios, Artes escénicas. La fase de producción requiere una estancia mínima de tres semanas en Salzburgo entre enero y febrero de 2026, con la presentación programada para marzo de 2026. El artista seleccionado recibirá hasta 40.000 EUR para cubrir honorarios, materiales, viajes, alojamiento y subcontrataciones.",https://www.moz.ac.at/en/news/2025/05/open-call-artist-in-residence-program,Residencia,"Escénicas, Performance, Audiovisual, Interdisciplinario, Arte Digital, Nuevos medios",Música,Sin cargo,40000.0,EUR,43200.0,
Residencia︱Pax Kultura Artist Residence,Malta,Culture Directorate Malta,"Dirigido a artistas internacionales con al menos dos años de experiencia (incluyendo de Latinoamérica), especialmente de países con conflictos o inestabilidad reciente que afecte su libertad de expresión. Los artistas seleccionados desarrollarán su trabajo en Malta durante un máximo de un mes, entre el 1 de octubre y el 5 de diciembre de 2025, en el marco del programa ""Artista en Residencia 2025 – Pax Kultura"", cuyo objetivo es fomentar la reflexión, la innovación y la conexión entre diversas disciplinas artísticas, sirviendo como un punto de encuentro entre el arte, la cultura y la paz. Disciplinas: todas las áreas artísticas. El monto total destinado es de 30.000 € para un máximo de seis artistas seleccionados.",https://direttoratkultura.gov.mt/en/opportunities/,Residencia,Multidisciplinar,Otras,Sin cargo,30000.0,EUR,32400.00,
Residencia | Programa de Escritores en Residencia 2026,Hong Kong,Taller Internacional de Escritores (IWW) de Hong Kong Baptist University,"Dirigido a escritores con al menos un libro publicado y que actualmente residan fuera de Hong Kong, con dominio funcional de inglés o chino. Se desarrollará del 2 al 29 de marzo de 2026 y culminará con el Festival Literario IWW, donde los residentes deberán participar en torno al tema ""Aquí y allá"". El programa cubre pasaje aéreo de ida y vuelta, alojamiento por 4 semanas y una dieta diaria.",https://iww.hkbu.edu.hk/,Residencia,Literatura,Literatura,Sin cargo,,,Residencia,
Beca | Beca Werner Fenz para Arte en el Espacio Público 2026,Austria,steirischer herbst festival y la Ciudad de Graz,"Dirigida a proyectos nacionales e internacionales que aborden el contexto cultural y político de la ciudad de Graz. La Beca, de carácter internacional y dotada con 17.000 EUR, busca un proyecto ganador para su exhibición pública en la primavera de 2026 y su ejecución dentro del festival Steirischer Herbst 2026. De la dotación, 12.000 EUR se destinarán a la realización de la obra y 5.000 EUR a honorarios. El festival Steirischer Herbst gestionará la producción, incluyendo la investigación en el sitio y el alojamiento durante el periodo de producción.",https://www.steirischerherbst.at/en/pages/7589/open-callwerner-fenz-grant-for-art-in-public-space-2026,Beca,"Visuales, Diseño",Diseño,Sin cargo,17000.0,EUR,18360.0,
Beca | Programa FIAS Becas 2026-2027,Francia,Programa de Becas de los Institutos Franceses de Estudios Avanzados,"El Programa ofrece 28 plazas de 10 meses para investigadores postdoctorales en Ciencias Sociales y Humanidades (y campos relacionados), distribuidas en siete sedes en Francia (Aix Marsella, Cergy, Valle del Loira, Lyon, Montpellier, Nantes y París). Está dirigido a investigadores de cualquier país que posean un título de doctorado más dos años de experiencia a tiempo completo post-doctorado, y que no hayan residido en Francia más de 12 meses en los últimos 3 años. También pueden postularse artistas que cumplan los requisitos de elegibilidad. Las solicitudes deben presentarse en inglés. El estipendio es de 2.200 €/mes por 10 meses, más fondos adicionales para investigación.",https://www.fias-fp.eu/fellowships,Beca,"Otras, Investigación, Ciencias Sociales, Interdisciplinario",Otras,Sin cargo,2200.0,EUR,2376.0,
"Convocatoria | IMPACT25 ‘Countercrafts: On Practices of Resistance, Repair and Reworlding’",Alemania,"PACT Zollverein, Essen","Se convoca a profesionales y teóricos para IMPACT25, un simposio transdisciplinario que se realizará del 17 al 20 de octubre de 2025. El evento busca crear un espacio para desarrollar y explorar estrategias de resistencia, reparación y reorganización frente a la desigualdad y las narrativas autoritarias, utilizando el arte como un catalizador para desafiar las perspectivas dominantes y visibilizar ideas complejas de pertenencia y futuro. Está dirigido a profesionales de las artes, ciencia, periodismo, tecnología, activismo, trabajo social y arquitectura, invitándolos a presentar proyectos que deseen compartir en un intercambio internacional. El programa cubre la participación con remuneración, costos de viaje y alojamiento para los seleccionados.",https://www.pact-zollverein.de/en/IMPACT25,Convocatoria,Multidisciplinar,Otras,Sin cargo,,EUR,,
Convocatoria | Art On Lincoln Road,EEUU,Distrito de Mejora Comercial de Lincoln Road,"Dirigida a artistas visuales profesionales y grupos colaborativos de artistas, tanto locales, nacionales como internacionales. La disciplina artística es el arte público, específicamente instalaciones esculturales y artísticas temporales que deben ser adecuadas para exhibición al aire libre, resistentes a las condiciones climáticas y aptas para toda la familia. La ubicación del proyecto es en Lincoln Road, Miami Beach, Florida. Se otorgará un estipendio único de $75,000 USD a un artista o grupo, el cual debe cubrir todos los costos asociados (materiales, fabricación, transporte, instalación, desinstalación y honorarios). Es fundamental que las propuestas reflejen el espíritu de Lincoln Road y mejoren la experiencia del arte público. ",https://lincolnroad.com/open-call-to-artists/#proposalform,Convocatoria,Visuales,Visuales,Sin cargo,75000.0,USD,75000.0,
Premio | Concurso de Composición para Cuartetos sobre el Río Támesis,Reino Unido,County Hall Arts (CHA),"Dirigido a compositores de música clásica de todo el mundo a participar del concurso cuyo objeto es crear una obra musical que refleje la historia, vitalidad y maravilla natural del Támesis. La primera fase del concurso invita a los compositores a presentar un breve documento de propuesta que explique su visión para esta composición clásica para cuarteto sobre el Támesis. Los seleccionados a la segunda etapa se les invitará a crear su propia composición para cuarteto, que deberá ser para cuarteto de flauta (flauta, violín, viola y violonchelo), con una versión independiente para cuarteto de piano. Se prevé que las obras ganadoras y las que queden en segundo lugar sean interpretadas por el Cuarteto County Hall y el Cuarteto Kioto. El concurso otorgará un premio principal de €40,000 al ganador, €20,000 a la composición que quede en segundo lugar, y €10,000 a hasta cuatro finalistas adicionales, sumando un total de €100,000 en premios.",https://www.countyhallarts.com/stories/river-thames-quartet-composition-concours,Premio,"Música, Composición, Cuarteto",Música,Sin cargo,40000.0,EUR,43200.0,
Convocatoria | Fukt #23 – The Sound Issue,Noruega,FUKT Magazine for Drawing,"Dirigida a artistas de todo el mundo que trabajen la disciplina del dibujo. El tema central y objeto de la convocatoria es explorar la relación entre el dibujo y el sonido, invitando a obras que resuenen con conceptos como el ritmo visual, la textura del silencio, grabaciones de campo, o la memoria sonora. Para aplicar, los artistas deben enviar un PDF con 5-10 imágenes (máx. 10 MB), una breve introducción personal y un enlace a su sitio web/Instagram.",https://www.fuktmagazine.com/opencall2025,Convocatoria,"Visuales, Dibujo",Visuales,Sin cargo,,,,
Premio | CIRCA Prize 2025,Reino Unido,CIRCA,"Dirigido artistas emergentes de todo el mundo, ya sean individuales, dúos o colectivos, que aún no hayan realizado un encargo de arte público y que trabajen en cualquier medio, (incluyendo imagen en movimiento, performance, sonido, danza, poesía y prácticas digitales), a presentar un trabajo de video de 2.5 minutos (150 segundos) en respuesta al Manifiesto CIRCA 20:25, REFUGIA. Treinta finalistas serán seleccionados para que su trabajo se proyecte durante todo septiembre en el icónico Piccadilly Lights de Londres y se transmita a través de la plataforma global de CIRCA. El ganador recibirá £30,000 para apoyar su práctica y realizar la nueva comisión, que se estrenará en 2027, además de un trofeo diseñado por Ai Weiwei. Adicionalmente, se otorgarán £10,000 a un finalista elegido por votación pública global.",https://circa.art/circa-prize/2025,Premio,"Multidisciplinar, Audiovisual",Música,Sin cargo,30000.0,GBP,37500.0,
Convocatoria | Sound Installation of Youth Activist Voices,EEUU,"Human Impacts Institute (HII), New York","Dirigida a artistas o colectivos de artistas mayores de 18 años de todo el mundo (con énfasis en artistas BIPOC, jóvenes o de comunidades vulnerables/subrepresentadas) a presentar propuestas para diseñar y producir una instalación de sonido móvil y virtual. Los artistas seleccionados recibirán $5,500 USD (honorarios y materiales incluidos), exposición presencial y en línea durante la Semana del Clima de Nueva York 2025, y promoción global a través del Instituto de Impacto Humano, WNET y sus redes colaboradoras. También contarán con apoyo creativo y logístico, y la oportunidad de colaborar con jóvenes líderes climáticos internacionales. ",https://www.humanimpactsinstitute.org/,Convocatoria,"Música, Visuales, Arte Sonoro, Instalación",Música,Sin cargo,5500.0,USD,5500.0,5500.0
Convocatoria | The 19th Busan International Video Art Festival,Corea del Sur,Busan International Video Art Festival,"Se invita a postularse a artistas y cineastas de todo el mundo que participen activamente en el campo del videoarte. El Festival se realizará del 2 al 26 de septiembre de 2025.  Un requisito clave es que las obras de las competiciones internacional y coreana no hayan sido exhibidas más de tres veces en Corea del Sur, y todas las obras deben haber sido producidas después del 1 de enero de 2023. Habrá un premio de KRW 1,000,000 para una obra ganadora seleccionada entre las competiciones internacional y coreana.",https://www.videoartbusan.com,Convocatoria,"Cine, Visuales, Videoarte",Cine,Sin cargo,,,,
Convocatoria | Tbilisi Landscape Modeling Workshop,Georgia,Ubani — Tbilisi Cityscape Research Center,"Convocatoria abierta para participar del Taller de Modelado de Paisajes, dirigido por el arquitecto y académico italiano Renato Rizzi. El taller busca crear un modelo de paisaje de Tiflis. Se invita a estudiantes, profesionales, curiosos y amantes de la artesanía de los campos del arte, la arquitectura, el urbanismo, la restauración, la conservación, la geografía, la cartografía, el diseño, la escultura, la pintura y a cualquier persona que disfrute de la artesanía. Es requisito hablar/entender uno de estos idiomas, Inglés o georgiano.",https://ubani.center/stories/open-call-tbilisi-landscape-modeling-workshop/,Convocatoria,"Diseño, arquitectura, Artesanía, Urbanismo",Diseño,Sin cargo,,,,
Premio | COPIC Award 2025,Japón,Too Marker Products,"Concurso internacional de arte dirigido a cualquier persona que desee celebrar la alegría de la creatividad utilizando productos COPIC. No hay restricciones de nacionalidad, edad o experiencia. El principal requerimiento es que la obra sea original, creada con COPIC, no haya sido expuesta en otros concursos (salvo excepciones) y que la postulación sea individual. La inscripción es gratuita. Los premios incluyen un Gran Premio de US$1,500 y un set completo de Copic Sketch de 358 colores, un Segundo Premio de US$1,000, así como otros premios como el Future Generation Art Prize (para menores de 18 años) y premios de los jueces, todos con reconocimiento y sets especiales de productos Copic. ",https://copicaward.com/guideline/,Premio,"Visuales, ",Visuales,Sin cargo,1500.0,JPY,10.05,
Convocatoria | The PROJECT ROOM to create new site-specific work,EEUU,"Locust Projects,  Miami, Fl","Dirigido a artistas visuales de cualquier país y en cualquier etapa de su carrera (excepto estudiantes), sin requerir pago para participar. Disciplinas: todas las artes visuales con énfasis en instalaciones site-specific. El apoyo incluye $5,000 USD para producción y $3,100 USD de honorarios, y está abierta a artistas de Latinoamérica.",https://www.locustprojects.org/for-artists/submissions/,Convocatoria,Visuales,Visuales,Sin cargo,5000.0,USD,5000.0,310.0
Convocatoria | Exposición The Signal. The Noise. London,Reino Unido,PAI32,"Dirigido a artistas mayores de 18 años de cualquier país; requiere pago de £25 para aplicar. Disciplinas: pintura, escultura, instalación, fotografía, arte digital y videoarte. Abierto a artistas latinoamericanos.",https://pai32.com/exhibition-open-call-4/,Convocatoria,Visuales,Visuales,Pago,25.0,GBP,31.25,31.25
Convocatoria | Public Art Commission: Artist Expression of Interest,Reino Unido,"Hastings Museum and Art Gallery, Hastings, East Sussex","Se convoca a artistas individuales o colectivos con experiencia en arte público a crear obras que contribuyan a la regeneración urbana de Hastings, East Sussex, Reino Unido. El objetivo es embellecer y reflejar la identidad local, inspirándose en la integración de la naturaleza y la biodiversidad en entornos urbanos. La disciplina es el arte público, sin restricciones de medio. Los artistas seleccionados colaborarán con ARUP y dispondrán de un presupuesto máximo de £90,000 (que cubre honorarios, producción e instalación). La convocatoria está abierta a artistas de cualquier origen, lo que incluye a los latinoamericanos.",https://www.hmag.org.uk/see-and-do/projects/public-art-commission-hastings-town-centre-public-realm-and-green-connections-project/,Convocatoria,"Visuales, Diseño",Diseño,Sin cargo,90000.0,GBP,112500.0,112500.0
Residencia | Hub Feenix Artist Residency,Finlandia,Hub Feenix Residency,"Pueden postularse artistas visuales, artesanos, diseñadores, músicos, bailarines, escritores, periodistas, curadores y críticos, tanto de Finlandia como del extranjero. La residencia ofrece alojamiento en habitaciones individuales y estudios privados (aprox. 15m² cada uno). Los artistas comparten una cocina equipada para preparar sus comidas; la cafetería solo abre para eventos, salvo en verano. Se requiere un manejo básico de finlandés o inglés para la comunicación diaria. Puedes solicitar una residencia de 1 a 3 meses, de forma continua para el periodo hasta diciembre 2025. Se ofrecen tres opciones de residencia: habitación privada por 500 €/mes, o habitación privada con estudio o acceso a talleres por 700 €/mes.
",https://residency.feenix.community/,Residencia,Multidisciplinar,Otras,Pago,500.0,EUR,540.0,
Apoyo | Programa de Apoyo para la Participación en Mercados Internacionales 2025 – Pixelatl,Chile,"Ministerio de las Culturas, las Artes y el Patrimonio | Gobierno de Chile","Dirigido a audiovisualistas chilenos a participar en de la convocatoria para asistir a Pixelatl, el cual se realizará del 9 al 13 de septiembre del 2025, en Guadalajara, México.
El programa tiene por objetivo general apoyar la asistencia presencial y organizada de delegaciones de audiovisualistas nacionales (chile) en los mercados y secciones de industria internacionales más relevantes del mundo, que sean prioritarios para la industria nacional y que se desarrollen durante el año 2025.",https://www.fondosdecultura.cl/programa-de-apoyo-para-la-participacion-en-mercados-internacionales-2025-pixelatl/,Apoyo,Cine,Cine,Sin cargo,,CLP,,
Apoyo |  Programa de Apoyo para la Participación en Mercados Internacionales 2025,Chile,"Ministerio de las Culturas, las Artes y el Patrimonio | Gobierno de Chile","Dirigido a cineastas chilenos a participar en su convocatoria para asistir a The Industry Club del Festival de Cine de San Sebastián, que se realizará del 19 al 23 de septiembre de 2025 en San Sebastián, España. El objetivo es apoyar la asistencia de delegaciones chilenas a mercados audiovisuales internacionales relevantes, buscando mejorar la internacionalización de proyectos, promover la visibilidad de Chile y fomentar la coordinación de agendas. La convocatoria cubre gastos individuales como acreditación (100%), un pasaje de avión y hospedaje por hasta 5 días/4 noches para un integrante, y gastos grupales para difusión, promoción, eventos y asesorías.",https://www.fondosdecultura.cl/programa-de-apoyo-para-la-participacion-en-mercados-internacionales-2025-the-industry-club-del-festival-de-cine-de-san-sebastian/,Apoyo,Cine,Cine,Sin cargo,,CLP,,
Apoyo | Programa de Apoyo para la Participación en Mercados Internacionales – Venice Production Bridge 2025,Chile,"Ministerio de las Culturas, las Artes y el Patrimonio | Gobierno de Chile","Dirigido a audiovisualistas nacionales (Chile) a participar en una delegación oficial al Venice Production Bridge, del 28 de agosto al 3 de septiembre de 2025 en Venecia, Italia, en el marco de la participación de Chile como País Foco. El objetivo es apoyar la internacionalización de proyectos audiovisuales chilenos y promover la visibilidad del país en mercados clave. La convocatoria cubre gastos individuales como acreditación (100%), un pasaje de avión y hasta 5 días/4 noches de hospedaje para un integrante por proyecto, además de gastos grupales para difusión, promoción, y asesoría especializada. Es importante destacar que el Ministerio no transfiere recursos directamente, sino que organiza y financia parcialmente la misión.",https://www.fondosdecultura.cl/apoyo-mercados-internacionales-venice-production-bridge-2025/,Apoyo,Cine,Cine,Sin cargo,,CLP,,
Apoyo | Convocatoria Línea de Asistencia a Mercados FOCO 2025 – BIME PRO Bilbao y WOMEX,Chile,"Ministerio de las Culturas, las Artes y el Patrimonio | Gobierno de Chile","La Línea de Asistencia a Mercados FOCO 2025 del Fondo de la Música de Chile busca apoyar la participación de artistas y/o agentes chilenos con potencial de exportación en mercados musicales internacionales clave, como BIME PRO Bilbao y WOMEX, para fortalecer la presencia de la industria musical chilena en Europa y América. No se permite duplicidad de beneficios con otras líneas de apoyo estatal ni con ProChile. La convocatoria busca una delegación de hasta 18 personas para BIME PRO Bilbao (incluyendo bandas/artistas y managers) y hasta 6 agentes culturales para WOMEX, sin considerar showcases o ponencias en este último.",https://www.fondosdecultura.cl/asistencia-mercados-foco-2025-bime-pro-bilbao-womex/,Apoyo,Música,Música,Sin cargo,,CLP,,
Fondos | Línea de Circulación Nacional e Internacional Fondart Nacional 2025 – 3er periodo,Chile,"Ministerio de las Culturas, las Artes y el Patrimonio | Gobierno de Chile","Dirigido a artistas, colectivos y gestores chilenos o residentes en Chile; no requiere pago para postular; involucra todas las disciplinas artísticas financiadas por Fondart; el monto a otorgar por proyecto es entre $500.000 y $18.000.000 CLP; no está abierto a artistas de otros países de Latinoamérica, solo a residentes o nacionales chilenos.",https://fondos.gob.cl/ficha/mincap/fondart2025/,Fondos,"Diseño, Visuales, Arquitectura, Artesanía, Otras",Diseño,Sin cargo,500000.0,CLP,550.0,
Fondos | Línea de Apoyo a la Circulación de la Música Chilena 2024 – 2025 / Quinto llamado,Chile,"Ministerio de las Culturas, las Artes y el Patrimonio | Gobierno de Chile",Dirigido a personas naturales chilenas o extranjeras con cédula de identidad chilena. No requiere pago para postular. Disciplina: música; financia entre $5.600.000 y $9.000.000 CLP por proyecto. No está abierta a artistas de Latinoamérica que no cumplan con la tenencia de cédula chilena.,https://www.fondosdecultura.cl/linea-de-apoyo-a-la-circulacion-de-la-musica-chilena-2024-2025-quinto-llamado/,Fondos,Música,Música,Sin cargo,5600000.0,CLP,6160.0,
Fondos | Compañías de Trayectoria de las Artes Escénicas 2025,Chile,"Ministerio de las Culturas, las Artes y el Patrimonio de Chile","Dirigida a compañías de artes escénicas consolidadas que no hayan sido beneficiadas previamente. Disciplinas: teatro, danza, circo, títeres, narración oral y ópera. Financiamiento total de $176 millones a repartir entre seleccionados. Solo para colectivos con personalidad jurídica vigente en Chile; no está abierta a artistas de otros países latinoamericanos.",https://www.fondosdecultura.cl/convocatoria-para-companias-de-trayectoria-de-las-artes-escenicas-2025/,Fondos,Escénicas,Escénicas,Sin cargo,176.0,CLP,1.936,
